                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.48661,                0.34085,                 1.0412,                0.99278,                0.98769,                 0.9933,                0.95214,                0.38605,                0.21026,                0.86131,               0.001288,               0.001288,               0.001288
                     91,                0.42228,                0.23224,                 1.0009,                0.99302,                0.98783,                0.99333,                0.95332,                0.38274,                 0.2086,                0.85886,               0.001189,               0.001189,               0.001189
                     92,                    inf,                0.22263,                0.99282,                0.99265,                0.98846,                 0.9935,                0.95459,                0.37909,                 0.2069,                0.85629,                0.00109,                0.00109,                0.00109
                     93,                0.39869,                0.21676,                0.98305,                0.99328,                0.98817,                0.99356,                 0.9556,                0.37559,                0.20432,                0.85356,               0.000991,               0.000991,               0.000991
                     94,                 0.3879,                0.20954,                 0.9744,                 0.9933,                0.98888,                0.99368,                 0.9567,                0.37164,                0.20178,                0.85037,               0.000892,               0.000892,               0.000892
                     95,                 0.3803,                0.20576,                0.97052,                 0.9935,                0.98926,                0.99375,                0.95777,                0.36793,                0.19973,                0.84748,               0.000793,               0.000793,               0.000793
                     96,                0.37022,                0.19904,                0.96445,                0.99233,                0.99033,                0.99381,                 0.9589,                0.36408,                0.19731,                0.84463,               0.000694,               0.000694,               0.000694
                     97,                0.36098,                0.19332,                0.95656,                0.99345,                0.98977,                0.99374,                 0.9595,                0.36064,                0.19537,                0.84192,               0.000595,               0.000595,               0.000595
                     98,                0.35189,                0.18838,                0.95041,                0.99411,                0.98998,                0.99382,                0.96044,                0.35751,                0.19299,                 0.8396,               0.000496,               0.000496,               0.000496
                     99,                0.34362,                0.18272,                0.94689,                 0.9944,                0.99015,                 0.9939,                0.96098,                0.35481,                0.19171,                0.83741,               0.000397,               0.000397,               0.000397
                    100,                0.33538,                0.17818,                0.94037,                0.99472,                0.99021,                0.99391,                 0.9616,                 0.3518,                0.19033,                0.83498,               0.000298,               0.000298,               0.000298
